i,url,decision,razon,scrape_status,_run_id
1,https://elpotosi.net/nacional/20260628_tarija-felcn-desmantela-operativo-y-encuentra-droga-en-dispensadores-de-agua.html,Evidence,1 fila(s) extraída(s) para CSDB,texto_pobre,20260919_032703
2,https://www.le-pays.fr/roanne-42300/faits-divers/un-trafic-de-stupefiants-pilote-depuis-une-prison-demantele-a-roanne-quatre-hommes-places-en-detention-provisoire_15004202/,Potentially Interesting,"Drug trafficking ring run from prison in Roanne, but drug type unconfirmed.",ok,20260919_032703
3,https://diregional.com.br/diario-do-iguacu/policia/2026-06-15-adolescente-e-apreendido-com-drogas-durante-acao-da-pm-em-chapeco,Evidence,1 fila(s) extraída(s) para CSDB,texto_pobre,20260919_032703
4,https://bx1.be/categories/news/18-condamnations-et-plus-de-5-millions-deuros-confisques-pour-production-de-stupefiants/,Potentially Interesting,Drug production convictions with €5M confiscated; drug type unspecified from available text.,texto_pobre,20260919_032703
5,https://actu.fr/occitanie/montpellier_34172/nouvelle-fermeture-administrative-dans-l-herault-un-restaurant-du-littoral-recelait-des-stupefiants_64401102.html,Discard,Cannabis seizure at restaurant; no cocaine trafficking relevance.,ok,20260919_032703
6,https://leouve.com.br/seguranca/policia/bm-prende-homem-e-apreende-quase-8-kg-de-cocaina-em-caxias-do-sul/,Evidence,1 fila(s) extraída(s) para CSDB,ok,20260919_032703
7,https://www.pulzo.com/nacion/golpe-al-eln-incautan-1-5-toneladas-de-cocaina-y-explosivos-en-cesar-colombia-PP5231116A,Evidence,3 fila(s) extraída(s) para CSDB,ok,20260919_032703
8,https://www.eldiario.com.co/noticias/colombia/incautan-15-toneladas-de-cocaina-y-explosivos-atribuidos-al-eln-en-el-cesar/,Evidence,3 fila(s) extraída(s) para CSDB,ok,20260919_032703
9,https://www.dailyrecord.co.uk/news/scottish-news/how-drug-kingpin-nicknamed-glasgowceltic-37350821.amp,Evidence,2 fila(s) extraída(s) para CSDB,ok,20260919_032703
10,https://www.elespanol.com/reportajes/20260629/sexagenario-silencioso-escondia-alijo-toneladas-coca-ejido-valor-no-antecedentes/1003744301701_0.html,Evidence,1 fila(s) extraída(s) para CSDB,ok,20260919_032703
